Year,energy_consumption(TWh),population_growth,GDP,per_capita_electric_consumption,electricity_access
1971,794.3863,2.257900247,67350988021,97.77271821,28.9
1972,835.8586,2.301189197,71463193831,100.3050738,29.9
1973,853.3237,2.327407855,85515269585,100.6321541,30.9
1974,903.9876,2.331906417,99525899116,103.9926579,31.9
1975,972.0112,2.321760467,98472796457,114.5589276,32.9
1976,1019.4541,2.304663743,1.03E+11,124.1236916,33.9
1977,1078.32,2.291299608,1.21E+11,126.256734,34.9
1978,1120.9728,2.286780592,1.37E+11,135.9176407,35.9
1979,1182.959,2.29489353,1.53E+11,135.7417737,36.9
1980,1218.599,2.309521943,1.86E+11,141.7077015,37.9
1981,1349.2845,2.323758727,1.93E+11,151.8790588,38.9
1982,1336.0491,2.328678839,2.01E+11,158.0999117,39.9
1983,1405.0502,2.320388368,2.18E+11,165.687486,40.9
1984,1500.9186,2.295805502,2.12E+11,183.3018723,41.9
1985,1584.2627,2.259853172,2.33E+11,193.5348535,42.9
1986,1695.5906,2.220963311,2.49E+11,207.976493,43.9
1987,1802.8536,2.183882902,2.79E+11,220.220743,44.9
1988,1962.3015,2.146759799,2.97E+11,240.0256187,45.9
1989,2143.4136,2.110865104,2.96E+11,257.0397371,46.9
1990,2300.7012,2.076089204,3.21E+11,272.0634834,47.9
1991,2427.663,2.039728736,2.70E+11,290.8995799,48.9
1992,2552.7722,2.003178624,2.88E+11,304.4318305,49.9
1993,2616.248,1.970634987,2.79E+11,320.5507448,50.9
1994,2757.1213,1.943243922,3.27E+11,341.2313623,49.81130981
1995,2963.118,1.918940659,3.60E+11,358.7622129,51.40877533
1996,3081.6313,1.895219577,3.93E+11,359.8162707,53.00352097
1997,3252.01,1.869172003,4.16E+11,375.4850529,54.59486389
1998,3449.4966,1.839658764,4.21E+11,385.8639858,56.18213272
1999,3549.4888,1.805559737,4.59E+11,392.039693,60.1
2000,3728.5144,1.76812551,4.68E+11,393.6462478,58.72147369
2001,3743.8525,1.72876857,4.85E+11,393.8101981,55.79999924
2002,3865.7512,1.689561661,5.15E+11,410.6447839,62.29999924
2003,4004.0781,1.651491269,6.08E+11,430.4831633,64.04748535
2004,4347.582,1.615308295,7.09E+11,451.6115461,64.40000153
2005,4603.6104,1.579709143,8.20E+11,468.025754,67.5798111
2006,4849.72,1.545696439,9.40E+11,509.2140548,67.90000153
2007,5263.1113,1.509221986,1.22E+12,541.7383952,71.11986542
2008,5570.697,1.464889915,1.20E+12,561.2475814,72.89938354
2009,6003.236,1.410582714,1.34E+12,598.4982419,75
2010,6269.459,1.350338314,1.68E+12,640.3946068,76.30000305
2011,6650.7104,1.288512962,1.82E+12,696.8426815,67.59999847
2012,7048.088,1.231484894,1.83E+12,723.2369166,79.90000153
2013,7294.344,1.182904215,1.86E+12,764.2011341,81.99932861
2014,7799.773,1.145673402,2.04E+12,804.5163493,83.87249756
