Year,per_capita_electric_consumption
1971,97.77271821
1972,100.3050738
1973,100.6321541
1974,103.9926579
1975,114.5589276
1976,124.1236916
1977,126.256734
1978,135.9176407
1979,135.7417737
1980,141.7077015
1981,151.8790588
1982,158.0999117
1983,165.687486
1984,183.3018723
1985,193.5348535
1986,207.976493
1987,220.220743
1988,240.0256187
1989,257.0397371
1990,272.0634834
1991,290.8995799
1992,304.4318305
1993,320.5507448
1994,341.2313623
1995,358.7622129
1996,359.8162707
1997,375.4850529
1998,385.8639858
1999,392.039693
2000,393.6462478
2001,393.8101981
2002,410.6447839
2003,430.4831633
2004,451.6115461
2005,468.025754
2006,509.2140548
2007,541.7383952
2008,561.2475814
2009,598.4982419
2010,640.3946068
2011,696.8426815
2012,723.2369166
2013,764.2011341
2014,804.5163493
