Year,population_growth
1971,2.257900247
1972,2.301189197
1973,2.327407855
1974,2.331906417
1975,2.321760467
1976,2.304663743
1977,2.291299608
1978,2.286780592
1979,2.29489353
1980,2.309521943
1981,2.323758727
1982,2.328678839
1983,2.320388368
1984,2.295805502
1985,2.259853172
1986,2.220963311
1987,2.183882902
1988,2.146759799
1989,2.110865104
1990,2.076089204
1991,2.039728736
1992,2.003178624
1993,1.970634987
1994,1.943243922
1995,1.918940659
1996,1.895219577
1997,1.869172003
1998,1.839658764
1999,1.805559737
2000,1.76812551
2001,1.72876857
2002,1.689561661
2003,1.651491269
2004,1.615308295
2005,1.579709143
2006,1.545696439
2007,1.509221986
2008,1.464889915
2009,1.410582714
2010,1.350338314
2011,1.288512962
2012,1.231484894
2013,1.182904215
2014,1.145673402
